Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,type,1,,
Data,0,file_id,serial_number,"3390945015",,time_created,"1024873717",,manufacturer,"1",,garmin_product,"3843",,type,"4",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,power,1,,heart_rate,1,,temperature,1,,unknown,1,,unknown,1,,
Data,1,record,timestamp,"1024873717",s,position_lat,"477503889",semicircles,position_long,"-1255345017",semicircles,distance,"0.09",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,
Data,1,record,timestamp,"1024873718",s,distance,"0.19",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,heart_rate,"62",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,,,,
Data,1,record,timestamp,"1024873719",s,distance,"0.23",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,heart_rate,"62",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,,,,
Data,1,record,timestamp,"1024873720",s,distance,"0.33",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,,,,
Data,1,record,timestamp,"1024873721",s,distance,"0.41",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,,,,
Data,1,record,timestamp,"1024873722",s,distance,"0.48",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,power,1,,enhanced_respiration_rate,1,,heart_rate,1,,temperature,1,,unknown,1,,unknown,1,,,,,
Data,5,record,timestamp,"1024873723",s,distance,"0.52",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873724",s,distance,"0.56",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873725",s,distance,"0.61",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873726",s,distance,"0.63",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"61",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873727",s,distance,"0.77",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"10.63",Breaths/min,heart_rate,"60",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873728",s,distance,"0.77",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"10.63",Breaths/min,heart_rate,"59",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873729",s,distance,"0.77",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"10.63",Breaths/min,heart_rate,"59",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873730",s,distance,"0.84",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"10.63",Breaths/min,heart_rate,"59",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873731",s,distance,"0.89",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"10.63",Breaths/min,heart_rate,"59",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873732",s,distance,"0.94",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"10.63",Breaths/min,heart_rate,"59",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873733",s,distance,"1.04",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"59",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873734",s,distance,"1.81",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"62",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873735",s,distance,"2.82",m,altitude,"1587.0",m,speed,"0.0",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"66",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.0",m/s,,,,
Data,5,record,timestamp,"1024873736",s,distance,"4.14",m,altitude,"1587.0",m,speed,"0.448",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"68",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.448",m/s,,,,
Data,5,record,timestamp,"1024873737",s,distance,"5.84",m,altitude,"1587.0",m,speed,"0.616",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"69",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.616",m/s,,,,
Data,5,record,timestamp,"1024873738",s,distance,"7.75",m,altitude,"1587.0",m,speed,"0.812",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"68",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"0.812",m/s,,,,
Data,5,record,timestamp,"1024873739",s,distance,"9.89",m,altitude,"1587.0",m,speed,"1.026",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"67",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"1.026",m/s,,,,
Data,5,record,timestamp,"1024873740",s,distance,"12.34",m,altitude,"1587.0",m,speed,"1.278",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"66",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"1.278",m/s,,,,
Data,5,record,timestamp,"1024873741",s,distance,"15.15",m,altitude,"1587.0",m,speed,"1.568",m/s,power,"0",watts,enhanced_respiration_rate,"11.81",Breaths/min,heart_rate,"66",bpm,temperature,"20",C,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"1.568",m/s,,,,
Definition,9,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,accumulated_power,1,,altitude,1,,speed,1,,power,1,,enhanced_respiration_rate,1,,heart_rate,1,,cadence,1,,temperature,1,,fractional_cadence,1,,left_pco,1,,right_pco,1,,unknown,1,,unknown,1,,
Data,9,record,timestamp,"1024873742",s,distance,"18.29",m,accumulated_power,"82",watts,altitude,"1587.0",m,speed,"1.866",m/s,power,"82",watts,enhanced_respiration_rate,"11.02",Breaths/min,heart_rate,"68",bpm,cadence,"51",rpm,temperature,"20",C,fractional_cadence,"0.0",rpm,left_pco,"-4",mm,right_pco,"-7",mm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"1.866",m/s,
Definition,10,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,accumulated_power,1,,altitude,1,,speed,1,,power,1,,enhanced_respiration_rate,1,,heart_rate,1,,cadence,1,,temperature,1,,left_right_balance,1,,fractional_cadence,1,,left_pco,1,,right_pco,1,,unknown,1,,unknown,1,,
Data,10,record,timestamp,"1024873743",s,distance,"21.57",m,accumulated_power,"183",watts,altitude,"1587.0",m,speed,"2.137",m/s,power,"101",watts,enhanced_respiration_rate,"11.02",Breaths/min,heart_rate,"70",bpm,cadence,"55",rpm,temperature,"20",C,left_right_balance,"186",,fractional_cadence,"0.0",rpm,left_pco,"-4",mm,right_pco,"-7",mm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"2.137",m/s,
Definition,10,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,accumulated_power,1,,altitude,1,,speed,1,,power,1,,enhanced_respiration_rate,1,,heart_rate,1,,cadence,1,,temperature,1,,left_right_balance,1,,fractional_cadence,1,,left_pco,1,,right_pco,1,,left_power_phase,2,,left_power_phase_peak,2,,unknown,1,,unknown,1,,
Data,10,record,timestamp,"1024873744",s,distance,"25.15",m,accumulated_power,"295",watts,altitude,"1587.0",m,speed,"2.407",m/s,power,"112",watts,enhanced_respiration_rate,"11.02",Breaths/min,heart_rate,"72",bpm,cadence,"61",rpm,temperature,"20",C,left_right_balance,"174",,fractional_cadence,"0.0",rpm,left_pco,"-3",mm,right_pco,"1",mm,left_power_phase,"9.843750153808596|203.9062531860352",degrees,left_power_phase_peak,"66.09375103271486|123.75000193359378",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"2.407",m/s,
Definition,10,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,accumulated_power,1,,altitude,1,,speed,1,,power,1,,enhanced_respiration_rate,1,,heart_rate,1,,cadence,1,,temperature,1,,left_right_balance,1,,fractional_cadence,1,,left_pco,1,,right_pco,1,,left_power_phase,2,,left_power_phase_peak,2,,right_power_phase,2,,right_power_phase_peak,2,,unknown,1,,unknown,1,,
Data,10,record,timestamp,"1024873745",s,distance,"28.99",m,accumulated_power,"372",watts,altitude,"1587.0",m,speed,"2.669",m/s,power,"77",watts,enhanced_respiration_rate,"11.02",Breaths/min,heart_rate,"73",bpm,cadence,"62",rpm,temperature,"20",C,left_right_balance,"162",,fractional_cadence,"0.0",rpm,left_pco,"2",mm,right_pco,"-3",mm,left_power_phase,"337.5000052734376|199.68750312011724",degrees,left_power_phase_peak,"75.93750118652346|104.0625016259766",degrees,right_power_phase,"7.031250109863283|205.31250320800785",degrees,right_power_phase_peak,"70.31250109863284|106.8750016699219",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"2.669",m/s,
Data,10,record,timestamp,"1024873746",s,distance,"32.95",m,accumulated_power,"458",watts,altitude,"1587.0",m,speed,"2.902",m/s,power,"86",watts,enhanced_respiration_rate,"11.02",Breaths/min,heart_rate,"74",bpm,cadence,"70",rpm,temperature,"20",C,left_right_balance,"162",,fractional_cadence,"0.0",rpm,left_pco,"2",mm,right_pco,"-3",mm,left_power_phase,"337.5000052734376|199.68750312011724",degrees,left_power_phase_peak,"75.93750118652346|104.0625016259766",degrees,right_power_phase,"2.812500043945313|191.2500029882813",degrees,right_power_phase_peak,"67.50000105468752|120.93750188964847",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"2.902",m/s,
Data,10,record,timestamp,"1024873747",s,distance,"36.97",m,accumulated_power,"505",watts,altitude,"1587.0",m,speed,"3.116",m/s,power,"47",watts,enhanced_respiration_rate,"11.68",Breaths/min,heart_rate,"74",bpm,cadence,"65",rpm,temperature,"20",C,left_right_balance,"172",,fractional_cadence,"0.0",rpm,left_pco,"-5",mm,right_pco,"-4",mm,left_power_phase,"16.87500026367188|208.1250032519532",degrees,left_power_phase_peak,"81.56250127441409|125.15625195556643",degrees,right_power_phase,"2.812500043945313|191.2500029882813",degrees,right_power_phase_peak,"67.50000105468752|120.93750188964847",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.116",m/s,
Data,10,record,timestamp,"1024873748",s,distance,"41.01",m,accumulated_power,"574",watts,altitude,"1587.0",m,speed,"3.303",m/s,power,"69",watts,enhanced_respiration_rate,"11.68",Breaths/min,heart_rate,"73",bpm,cadence,"64",rpm,temperature,"20",C,left_right_balance,"171",,fractional_cadence,"0.0",rpm,left_pco,"-5",mm,right_pco,"-4",mm,left_power_phase,"14.062500219726566|208.1250032519532",degrees,left_power_phase_peak,"68.90625107666017|120.93750188964847",degrees,right_power_phase,"15.468750241699222|203.9062531860352",degrees,right_power_phase_peak,"66.09375103271486|123.75000193359378",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.303",m/s,
Data,10,record,timestamp,"1024873749",s,distance,"44.99",m,accumulated_power,"617",watts,altitude,"1587.0",m,speed,"3.49",m/s,power,"43",watts,enhanced_respiration_rate,"11.68",Breaths/min,heart_rate,"72",bpm,cadence,"66",rpm,temperature,"20",C,left_right_balance,"171",,fractional_cadence,"0.0",rpm,left_pco,"-4",mm,right_pco,"3",mm,left_power_phase,"14.062500219726566|208.1250032519532",degrees,left_power_phase_peak,"68.90625107666017|120.93750188964847",degrees,right_power_phase,"15.468750241699222|203.9062531860352",degrees,right_power_phase_peak,"66.09375103271486|123.75000193359378",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.49",m/s,
Data,10,record,timestamp,"1024873750",s,distance,"48.87",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"3.63",m/s,power,"47",watts,enhanced_respiration_rate,"11.68",Breaths/min,heart_rate,"71",bpm,cadence,"70",rpm,temperature,"20",C,left_right_balance,"189",,fractional_cadence,"0.0",rpm,left_pco,"-1",mm,right_pco,"-1",mm,left_power_phase,"14.062500219726566|208.1250032519532",degrees,left_power_phase_peak,"68.90625107666017|120.93750188964847",degrees,right_power_phase,"11.250000175781253|205.31250320800785",degrees,right_power_phase_peak,"59.06250092285158|115.31250180175785",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.63",m/s,
Data,10,record,timestamp,"1024873751",s,distance,"52.85",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"3.714",m/s,power,"0",watts,enhanced_respiration_rate,"11.68",Breaths/min,heart_rate,"71",bpm,cadence,"70",rpm,temperature,"20",C,left_right_balance,"189",,fractional_cadence,"0.0",rpm,left_pco,"-1",mm,right_pco,"-1",mm,left_power_phase,"14.062500219726566|208.1250032519532",degrees,left_power_phase_peak,"68.90625107666017|120.93750188964847",degrees,right_power_phase,"11.250000175781253|205.31250320800785",degrees,right_power_phase_peak,"59.06250092285158|115.31250180175785",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.714",m/s,
Definition,11,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,accumulated_power,1,,altitude,1,,speed,1,,power,1,,enhanced_respiration_rate,1,,heart_rate,1,,cadence,1,,temperature,1,,fractional_cadence,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873752",s,distance,"56.88",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"3.788",m/s,power,"0",watts,enhanced_respiration_rate,"12.51",Breaths/min,heart_rate,"68",bpm,cadence,"0",rpm,temperature,"20",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.788",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873753",s,distance,"60.96",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"3.844",m/s,power,"0",watts,enhanced_respiration_rate,"12.51",Breaths/min,heart_rate,"68",bpm,cadence,"0",rpm,temperature,"20",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.844",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873754",s,distance,"65.34",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"3.928",m/s,power,"0",watts,enhanced_respiration_rate,"12.51",Breaths/min,heart_rate,"69",bpm,cadence,"0",rpm,temperature,"21",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.928",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873755",s,distance,"69.63",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"3.975",m/s,power,"0",watts,enhanced_respiration_rate,"12.51",Breaths/min,heart_rate,"69",bpm,cadence,"0",rpm,temperature,"21",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"3.975",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873756",s,distance,"73.88",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"4.003",m/s,power,"0",watts,enhanced_respiration_rate,"12.51",Breaths/min,heart_rate,"69",bpm,cadence,"0",rpm,temperature,"20",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"4.003",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873757",s,distance,"78.3",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"4.022",m/s,power,"0",watts,enhanced_respiration_rate,"12.67",Breaths/min,heart_rate,"68",bpm,cadence,"0",rpm,temperature,"21",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"4.022",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873758",s,distance,"82.73",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"4.087",m/s,power,"0",watts,enhanced_respiration_rate,"12.67",Breaths/min,heart_rate,"68",bpm,cadence,"0",rpm,temperature,"21",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"4.087",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1024873759",s,distance,"87.5",m,accumulated_power,"664",watts,altitude,"1587.0",m,speed,"4.208",m/s,power,"0",watts,enhanced_respiration_rate,"12.67",Breaths/min,heart_rate,"68",bpm,cadence,"0",rpm,temperature,"21",C,fractional_cadence,"0.0",rpm,unknown,"99",,unknown,"99",,enhanced_altitude,"1587.0",m,enhanced_speed,"4.208",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,9,record,timestamp,"1024873760",s,distance,"92.43",m,accumulated_power,"684",watts,altitude,"1586.8000000000002",m,speed,"4.329",m/s,power,"5",watts,enhanced_respiration_rate,"12.67",Breaths/min,heart_rate,"70",bpm,cadence,"6",rpm,temperature,"21",C,fractional_cadence,"0.0",rpm,left_pco,"-1",mm,right_pco,"-1",mm,unknown,"99",,unknown,"99",,enhanced_altitude,"1586.8000000000002",m,enhanced_speed,"4.329",m/s,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1024873761",s,distance,"97.59",m,accumulated_power,"834",watts,altitude,"1586.8000000000002",m,speed,"4.479",m/s,power,"150",watts,enhanced_respiration_rate,"12.67",Breaths/min,heart_rate,"71",bpm,cadence,"86",rpm,temperature,"21",C,left_right_balance,"176",,fractional_cadence,"0.0",rpm,left_pco,"-9",mm,right_pco,"-11",mm,unknown,"99",,unknown,"99",,enhanced_altitude,"1586.8000000000002",m,enhanced_speed,"4.479",m/s,,,,,,,,,,,,,
Data,10,record,timestamp,"1024873762",s,distance,"103.08",m,accumulated_power,"1014",watts,altitude,"1586.6",m,speed,"4.647",m/s,power,"180",watts,enhanced_respiration_rate,"12.78",Breaths/min,heart_rate,"74",bpm,cadence,"92",rpm,temperature,"21",C,left_right_balance,"200",,fractional_cadence,"0.0",rpm,left_pco,"-9",mm,right_pco,"-7",mm,left_power_phase,"336.0937552514649|210.9375032958985",degrees,left_power_phase_peak,"57.65625090087892|123.75000193359378",degrees,right_power_phase,"11.250000175781253|205.31250320800785",degrees,right_power_phase_peak,"59.06250092285158|115.31250180175785",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1586.6",m,enhanced_speed,"4.647",m/s,
Data,10,record,timestamp,"1024873763",s,distance,"108.95",m,accumulated_power,"1190",watts,altitude,"1586.4",m,speed,"4.824",m/s,power,"176",watts,enhanced_respiration_rate,"12.78",Breaths/min,heart_rate,"76",bpm,cadence,"84",rpm,temperature,"21",C,left_right_balance,"160",,fractional_cadence,"0.0",rpm,left_pco,"-9",mm,right_pco,"-7",mm,left_power_phase,"348.75000544921886|206.7187532299805",degrees,left_power_phase_peak,"101.25000158203127|112.50000175781253",degrees,right_power_phase,"11.250000175781253|209.53125327392584",degrees,right_power_phase_peak,"81.56250127441409|130.78125204345707",degrees,unknown,"99",,unknown,"99",,enhanced_altitude,"1586.4",m,enhanced_speed,"4.824",m/s,
